LGA,ERP_2021,ERP_2022,ERP_2023,ERP_2024,ERP_2025,Avg_Population_2021_2025,Population_2025
Albury,56076.59036,56988.93609,58237.33492,59412.4879,60483.51998,58240,60484
Armidale,28705.0,28678.18447,28723.33526,28770.13539,28810.8773,28738,28811
Ballina,46097.0,45875.97058,46247.0763,46630.69593,46963.79027,46363,46964
Balranald,2275.950495,2275.785029,2278.137979,2280.848186,2283.652968,2279,2284
Bathurst,44412.0,44433.37132,44951.27828,45518.93928,46048.17401,45073,46048
Bayside,176190.2037,177128.6701,181112.2608,184046.594,186228.5994,180941,186229
Bega Valley,35908.62837,36098.92663,36411.23891,36699.47471,36947.49246,36413,36947
Bellingen,12989.29054,12969.59877,13003.35819,13038.86995,13070.17519,13014,13070
Berrigan,8613.752347,8674.851819,8758.407943,8836.176908,8905.325997,8758,8905
Blacktown,404175.0,412284.908,434623.0978,447618.9615,455739.9445,430888,455740
Bland,5517.0,5517.878192,5526.903202,5534.898857,5541.164293,5528,5541
Blayney,7531.0,7531.679384,7548.121938,7566.121689,7582.883091,7552,7583
Blue Mountains,78199.0,78263.86632,78518.44538,78702.46381,78805.94544,78498,78806
Bogan,2512.410003,2511.948666,2508.695995,2504.785505,2501.575354,2508,2502
Bourke,2434.479904,2433.662989,2419.853999,2405.045073,2390.646188,2417,2391
Brewarrina,2098.816246,2098.237132,2088.155325,2076.314463,2065.859746,2085,2066
Broken Hill,17662.0,17662.28069,17669.07815,17676.52383,17683.4612,17671,17683
Burwood,41245.91288,42091.38284,43030.42058,44329.98696,44973.41028,43134,44973
Byron,35929.0,35759.53269,36044.61961,36339.87325,36596.70128,36134,36597
Cabonne,15930.58089,15930.46757,15986.46843,16057.71439,16120.70925,16005,16121
Camden,120015.2185,125286.6103,137623.1936,146182.3283,150291.0652,135880,150291
Campbelltown,178461.9094,180456.2363,184592.5291,188321.6641,190179.0914,184402,190179
Canada Bay,89731.65216,89973.97722,90910.00942,91289.3421,92464.92804,90874,92465
Canterbury-Bankstown,372596.9111,373822.0579,377711.5912,381059.5255,383843.2217,377807,383843
Carrathool,2947.282233,2948.228076,2957.56754,2970.773622,2981.533202,2961,2982
Central Coast,348493.0,349792.7465,353050.8706,356339.4198,359445.0689,353424,359445
Central Darling,2176.272681,2175.991568,2170.5169,2164.691483,2159.177724,2169,2159
Cessnock,64562.64222,65157.20206,66587.61965,68057.82389,69480.01087,66769,69480
Clarence Valley,54212.66579,54116.62384,54278.49642,54446.25459,54592.24075,54329,54592
Cobar,4169.0,4169.0,4169.000005,4169.000005,4169.000006,4169,4169
Coffs Harbour,78994.04366,78732.35403,79174.42513,79634.34107,80036.20775,79314,80036
Coolamon,4456.839219,4459.005461,4477.24442,4497.394799,4513.801528,4481,4514
Coonamble,4038.0,4038.234792,4043.931535,4050.182703,4056.017064,4045,4056
Cootamundra-Gundagai,11404.0,11406.45967,11432.7887,11457.07923,11476.89633,11435,11477
Cowra,12801.36292,12804.56358,12828.27726,12854.57712,12879.04258,12834,12879
Cumberland,233855.3284,237347.0875,243428.3377,248353.3149,252972.2256,243191,252972
Dubbo,53748.71768,53771.594,54320.18621,54920.62422,55483.20153,54449,55483
Dungog,9532.0,9575.922249,9685.591594,9795.872344,9899.649808,9698,9900
Edward River,8442.640524,8455.253615,8472.32162,8489.201179,8504.422144,8473,8504
Eurobodalla,40528.37163,40729.54564,41082.19461,41410.06432,41701.061,41090,41701
Fairfield,209743.7945,210836.705,212501.5018,213286.6222,214155.116,212105,214155
Federation,12611.19001,12692.38175,12804.59385,12910.37812,13007.16571,12805,13007
Forbes,8391.153721,8395.919078,8495.043675,8593.383137,8685.014601,8512,8685
Georges River,152991.2859,154031.7526,156110.7166,159736.7114,161622.5618,156899,161623
Gilgandra,3558.326054,3558.659809,3559.081316,3561.222436,3563.06214,3560,3563
Glen Innes Severn,8925.0,8924.437053,8925.383491,8926.363075,8927.214666,8926,8927
Goulburn Mulwaree,30885.775,30925.31929,31359.04583,31748.8758,32064.42865,31397,32064
Greater Hume Shire,11077.21963,11204.02723,11398.10671,11602.40315,11793.84861,11415,11794
Griffith,27212.10169,27240.63349,27544.17718,27818.48879,28042.78363,27572,28043
Gunnedah,13119.3471,13121.23823,13162.93915,13208.80477,13251.38211,13173,13251
Gwydir,4426.85492,4423.93357,4432.416187,4441.037337,4448.032312,4434,4448
Hawkesbury,67723.09777,68016.34334,68733.98644,69640.75921,70217.25687,68866,70217
Hay,2898.0,2896.911772,2885.302192,2874.625957,2865.94277,2884,2866
Hilltops,19920.41217,19926.29735,19986.97588,20049.67565,20105.43324,19998,20105
Hornsby,149540.8424,149836.4198,150630.3271,151394.1779,151906.7581,150662,151907
Hunters Hill,13603.9005,13616.42465,13672.25694,13697.04266,13725.38407,13663,13725
Inner West,183251.8437,184080.7061,187508.3745,192030.7782,193361.8813,188047,193362
Inverell,18056.06321,18030.27415,18070.36927,18112.34874,18149.2342,18084,18149
Junee,6385.999999,6392.228716,6459.072342,6520.889844,6571.439151,6466,6571
Kempsey,30894.0,30897.58719,30984.47691,31079.67009,31168.38049,31005,31168
Kiama,22882.0,22957.75917,23090.5116,23212.90634,23321.67751,23093,23322
Ku-ring-gai,124990.0,125154.2832,125780.0819,126608.3182,127041.8129,125915,127042
Kyogle,9241.555715,9228.935212,9253.241206,9277.436421,9299.025509,9260,9299
Lachlan,6139.997243,6139.401171,6128.488283,6116.525002,6105.537533,6126,6106
Lake Macquarie,213414.9295,214407.1197,216884.4417,219375.3606,221719.8277,217160,221720
Lane Cove,39058.10281,39666.3265,41358.70507,42690.71104,43082.5322,41171,43083
Leeton,11417.30435,11420.93214,11459.96772,11496.67272,11526.57341,11464,11527
Lismore,44631.0,44540.66456,44692.38796,44849.27648,44985.54198,44740,44986
Lithgow,20847.0,20848.91265,20895.14394,20945.69206,20992.7078,20906,20993
Liverpool,233912.1839,239378.0458,253279.8336,261590.1245,268915.7105,251415,268916
Liverpool Plains,7608.0,7608.348531,7616.797559,7626.06121,7634.700369,7619,7635
Lockhart,3341.625066,3341.937691,3352.12802,3362.757223,3371.53131,3354,3372
Maitland,90251.08877,91225.32965,93649.9498,96087.62151,98376.13509,93918,98376
Mid-Coast,96350.0,96397.45851,96937.90804,97521.8028,98064.82472,97054,98065
Mid-Western,25940.05426,25948.70127,26177.74616,26426.1653,26652.62666,26229,26653
Moree Plains,13416.0,13335.28342,13470.83537,13610.98771,13732.7054,13513,13733
Mosman,28466.0,28475.80455,28535.26692,28631.64835,28680.12996,28558,28680
Murray River,12744.48372,12908.02536,13136.6658,13355.33434,13556.33754,13140,13556
Murrumbidgee,3554.559378,3558.241644,3573.891695,3591.839142,3609.502394,3578,3610
Muswellbrook,16469.0,16496.15261,16563.81655,16631.72966,16695.52284,16571,16696
Nambucca Valley,20382.0,20323.20383,20422.44045,20525.53787,20615.48575,20454,20615
Narrabri,12776.6529,12776.96225,12788.50796,12800.92172,12812.60536,12791,12813
Narrandera,5937.0,5935.796657,5922.924841,5911.057651,5901.382238,5922,5901
Narromine,6550.000001,6550.431108,6560.884171,6572.347379,6583.039897,6563,6583
Newcastle,170161.5866,171026.5962,173183.7508,175348.074,177387.221,173421,177387
North Sydney,68972.59338,69202.35118,69602.65237,70315.32075,71177.17314,69854,71177
Northern Beaches,264567.0,264830.1337,266471.3797,267294.6928,267907.1426,266214,267907
Oberon,4828.999999,4829.493583,4841.429091,4854.484234,4866.631677,4844,4867
Orange,44139.18478,44151.78148,44472.83635,44824.20379,45151.18454,44548,45151
Parkes,14561.00276,14563.03932,14608.90662,14659.2303,14739.90002,14626,14740
Parramatta,258243.5485,261794.5229,267269.4556,271961.7459,277172.5805,267288,277173
Penrith,219288.5351,220507.7538,224094.6767,226309.3566,228958.4618,223832,228958
Port Macquarie-Hastings,86654.0,86679.27434,87291.61915,87962.63716,88588.09636,87435,88588
Port Stephens,75308.11711,75597.42138,76324.72391,77060.46844,77751.82192,76409,77752
Queanbeyan-Palerang,62959.42667,63699.38235,64961.56145,66130.85622,67153.7725,64981,67154
Randwick,135219.0066,135354.1322,145288.7404,147203.6768,147920.2541,142197,147920
Richmond Valley,23705.44429,23661.10104,23732.72545,23807.98205,23872.98522,23756,23873
Ryde,130281.6942,130982.4392,134109.6574,135545.5225,137712.3909,133726,137712
Shellharbour,76492.0,77650.0633,79676.85606,81543.32812,83200.18439,79712,83200
Shoalhaven,108349.0,109857.1449,112508.9236,114961.8072,117148.4802,112565,117148
Singleton,24682.63582,24741.24237,24944.21636,25114.517,25236.77292,24944,25237
Snowy Monaro,22652.57333,22844.55588,23165.57988,23463.33292,23724.04108,23170,23724
Snowy Valleys,14933.0,14934.22688,14947.32518,14959.37884,14969.1889,14949,14969
Strathfield,45587.70315,45678.34499,47229.73808,50150.10378,50936.41577,47916,50936
Sutherland,230392.0,231465.2194,234103.8768,237200.6049,239075.9802,234448,239076
Sydney,214466.3298,215934.86,228791.921,235777.7023,239562.3179,226907,239562
Tamworth,63507.0,63523.22389,63916.22686,64346.80245,64748.06977,64008,64748
Temora,5999.922333,6005.566426,6071.244605,6128.197451,6174.795917,6076,6175
Tenterfield,6800.0,6788.774948,6807.601317,6827.0423,6843.905873,6813,6844
The Hills,193884.0299,199727.3363,211254.1664,224739.8617,233666.0625,212654,233666
Tweed,97216.0,96798.8841,97501.90508,98231.29832,98866.8502,97723,98867
Unincorporated NSW,597.7273187,597.2903116,597.9737872,598.4361282,598.8428249,598,599
Upper Hunter,14256.0,14278.5222,14334.81015,14391.46205,14444.81831,14341,14445
Upper Lachlan,10239.22662,10261.15785,10348.76155,10439.86641,10518.41001,10361,10518
Uralla,6486.081874,6471.173082,6495.866001,6521.04097,6542.984396,6503,6543
Wagga Wagga,67882.61338,67944.25575,68593.22867,69187.78262,69670.09236,68656,69670
Walcha,3146.0,3146.000017,3146.000017,3146.000015,3146.000016,3146,3146
Walgett,4969.703851,4969.326878,4950.581395,4930.843428,4912.755405,4947,4913
Warren,2984.263944,2984.241889,2983.459742,2981.282206,2978.984926,2982,2979
Warrumbungle,9051.945743,9052.721288,9051.481836,9052.19107,9057.494951,9053,9057
Waverley,69397.0,69841.2617,71731.67368,72762.29755,73202.44088,71387,73202
Weddin,3578.0,3578.213144,3583.350673,3588.952819,3594.150042,3585,3594
Wentworth,7456.925265,7458.136478,7481.609525,7507.183199,7530.740087,7487,7531
Willoughby,76994.30381,77312.52612,78565.3194,79861.23066,80685.29931,78684,80685
Wingecarribee,52459.0,52858.9565,53561.35515,54210.3254,54788.23052,53576,54788
Wollondilly,54308.65744,55566.47668,58065.69859,60811.57347,62888.06338,58328,62888
Wollongong,214717.0,217294.1556,221815.4917,225988.8313,229701.7046,221903,229702
Woollahra,53953.41033,54036.78108,55457.27435,56919.07186,57179.54753,55509,57180
Yass Valley,15523.58621,15611.54496,15763.07401,15901.86949,16022.78651,15765,16023
