LGA,Offence category,Month,Incident_Count,Month_Label,Year,Month_Num
Albury,Abduction and kidnapping,2021-01-01,0,Jan-21,2021,1
Albury,Abduction and kidnapping,2021-02-01,0,Feb-21,2021,2
Albury,Abduction and kidnapping,2021-03-01,0,Mar-21,2021,3
Albury,Abduction and kidnapping,2021-04-01,0,Apr-21,2021,4
Albury,Abduction and kidnapping,2021-05-01,0,May-21,2021,5
Albury,Abduction and kidnapping,2021-06-01,0,Jun-21,2021,6
Albury,Abduction and kidnapping,2021-07-01,0,Jul-21,2021,7
Albury,Abduction and kidnapping,2021-08-01,0,Aug-21,2021,8
Albury,Abduction and kidnapping,2021-09-01,0,Sep-21,2021,9
Albury,Abduction and kidnapping,2021-10-01,0,Oct-21,2021,10
Albury,Abduction and kidnapping,2021-11-01,0,Nov-21,2021,11
Albury,Abduction and kidnapping,2021-12-01,1,Dec-21,2021,12
Albury,Abduction and kidnapping,2022-01-01,0,Jan-22,2022,1
Albury,Abduction and kidnapping,2022-02-01,0,Feb-22,2022,2
Albury,Abduction and kidnapping,2022-03-01,0,Mar-22,2022,3
Albury,Abduction and kidnapping,2022-04-01,0,Apr-22,2022,4
Albury,Abduction and kidnapping,2022-05-01,0,May-22,2022,5
Albury,Abduction and kidnapping,2022-06-01,0,Jun-22,2022,6
Albury,Abduction and kidnapping,2022-07-01,1,Jul-22,2022,7
Albury,Abduction and kidnapping,2022-08-01,0,Aug-22,2022,8
Albury,Abduction and kidnapping,2022-09-01,1,Sep-22,2022,9
Albury,Abduction and kidnapping,2022-10-01,0,Oct-22,2022,10
Albury,Abduction and kidnapping,2022-11-01,2,Nov-22,2022,11
Albury,Abduction and kidnapping,2022-12-01,0,Dec-22,2022,12
Albury,Abduction and kidnapping,2023-01-01,0,Jan-23,2023,1
Albury,Abduction and kidnapping,2023-02-01,1,Feb-23,2023,2
Albury,Abduction and kidnapping,2023-03-01,0,Mar-23,2023,3
Albury,Abduction and kidnapping,2023-04-01,0,Apr-23,2023,4
Albury,Abduction and kidnapping,2023-05-01,0,May-23,2023,5
Albury,Abduction and kidnapping,2023-06-01,0,Jun-23,2023,6
Albury,Abduction and kidnapping,2023-07-01,0,Jul-23,2023,7
Albury,Abduction and kidnapping,2023-08-01,0,Aug-23,2023,8
Albury,Abduction and kidnapping,2023-09-01,1,Sep-23,2023,9
Albury,Abduction and kidnapping,2023-10-01,1,Oct-23,2023,10
Albury,Abduction and kidnapping,2023-11-01,0,Nov-23,2023,11
Albury,Abduction and kidnapping,2023-12-01,0,Dec-23,2023,12
Albury,Abduction and kidnapping,2024-01-01,0,Jan-24,2024,1
Albury,Abduction and kidnapping,2024-02-01,0,Feb-24,2024,2
Albury,Abduction and kidnapping,2024-03-01,0,Mar-24,2024,3
Albury,Abduction and kidnapping,2024-04-01,0,Apr-24,2024,4
Albury,Abduction and kidnapping,2024-05-01,0,May-24,2024,5
Albury,Abduction and kidnapping,2024-06-01,1,Jun-24,2024,6
Albury,Abduction and kidnapping,2024-07-01,0,Jul-24,2024,7
Albury,Abduction and kidnapping,2024-08-01,0,Aug-24,2024,8
Albury,Abduction and kidnapping,2024-09-01,0,Sep-24,2024,9
Albury,Abduction and kidnapping,2024-10-01,0,Oct-24,2024,10
Albury,Abduction and kidnapping,2024-11-01,0,Nov-24,2024,11
Albury,Abduction and kidnapping,2024-12-01,1,Dec-24,2024,12
Albury,Abduction and kidnapping,2025-01-01,0,Jan-25,2025,1
Albury,Abduction and kidnapping,2025-02-01,0,Feb-25,2025,2
Albury,Abduction and kidnapping,2025-03-01,0,Mar-25,2025,3
Albury,Abduction and kidnapping,2025-04-01,0,Apr-25,2025,4
Albury,Abduction and kidnapping,2025-05-01,1,May-25,2025,5
Albury,Abduction and kidnapping,2025-06-01,0,Jun-25,2025,6
Albury,Abduction and kidnapping,2025-07-01,0,Jul-25,2025,7
Albury,Abduction and kidnapping,2025-08-01,0,Aug-25,2025,8
Albury,Abduction and kidnapping,2025-09-01,0,Sep-25,2025,9
Albury,Abduction and kidnapping,2025-10-01,0,Oct-25,2025,10
Albury,Abduction and kidnapping,2025-11-01,0,Nov-25,2025,11
Albury,Abduction and kidnapping,2025-12-01,0,Dec-25,2025,12
Albury,Against justice procedures,2021-01-01,69,Jan-21,2021,1
Albury,Against justice procedures,2021-02-01,80,Feb-21,2021,2
Albury,Against justice procedures,2021-03-01,87,Mar-21,2021,3
Albury,Against justice procedures,2021-04-01,62,Apr-21,2021,4
Albury,Against justice procedures,2021-05-01,78,May-21,2021,5
Albury,Against justice procedures,2021-06-01,76,Jun-21,2021,6
Albury,Against justice procedures,2021-07-01,71,Jul-21,2021,7
Albury,Against justice procedures,2021-08-01,84,Aug-21,2021,8
Albury,Against justice procedures,2021-09-01,75,Sep-21,2021,9
Albury,Against justice procedures,2021-10-01,67,Oct-21,2021,10
Albury,Against justice procedures,2021-11-01,71,Nov-21,2021,11
Albury,Against justice procedures,2021-12-01,100,Dec-21,2021,12
Albury,Against justice procedures,2022-01-01,91,Jan-22,2022,1
