LGA,Police_Station_Count
Albury,1
Armidale,2
Ballina,3
Balranald,2
Bathurst,4
Bayside,1
Bega Valley,9
Bellingen,3
Berrigan,4
Blacktown,3
Bland,4
Blayney,4
Blue Mountains,5
Bogan,1
Bourke,3
Brewarrina,2
Broken Hill,1
Burwood,1
Byron,4
Cabonne,7
Camden,1
Campbelltown,2
Canada Bay,1
Canterbury-Bankstown,4
Carrathool,3
Central Coast,6
Central Darling,3
Cessnock,4
Clarence Valley,10
Cobar,2
Coffs Harbour,4
Coolamon,3
Coonamble,2
Cootamundra-Gundagai,4
Cowra,3
Cumberland,3
Dubbo,4
Dungog,4
Edward River,1
Eurobodalla,4
Fairfield,3
Federation,6
Forbes,1
Georges River,4
Gilgandra,2
Glen Innes Severn,3
Goulburn Mulwaree,3
Greater Hume Shire,4
Griffith,1
Gunnedah,3
Gwydir,3
Hawkesbury,1
Hay,1
Hilltops,5
Hornsby,1
Hunters Hill,1
Inner West,5
Inverell,5
Junee,1
Kempsey,4
Kiama,1
Ku-ring-gai,1
Kyogle,4
Lachlan,3
Lake Macquarie,5
Leeton,1
Lismore,2
Lithgow,4
Liverpool,2
Liverpool Plains,3
Lockhart,2
Maitland,3
Mid-Coast,9
Mid-Western,4
Moree Plains,6
Mosman,1
Murray River,4
Murrumbidgee,3
Muswellbrook,2
Nambucca Valley,3
Narrabri,6
Narrandera,2
Narromine,2
Newcastle,5
North Sydney,1
Northern Beaches,5
Oberon,1
Orange,1
Parkes,4
Parramatta,3
Penrith,2
Port Macquarie-Hastings,4
Port Stephens,5
Queanbeyan-Palerang,4
Randwick,2
Richmond Valley,4
Ryde,2
Shellharbour,1
Shoalhaven,7
Singleton,3
Snowy Monaro,10
Snowy Valleys,6
Sutherland,3
Sydney,7
Tamworth,7
Temora,2
Tenterfield,1
The Hills,2
Tweed,3
UNINCORPORATED - FAR WEST AREA,1
UNINCORPORATED - LORD HOWE ISLAND,1
Upper Hunter,5
Upper Lachlan,6
Uralla,2
Wagga Wagga,2
Walcha,3
Walgett,5
Warren,1
Warrumbungle,6
Waverley,2
Weddin,3
Wentworth,3
Willoughby,1
Wingecarribee,4
Wollondilly,3
Wollongong,6
Woollahra,2
Yass Valley,2
