Station_Name,Longitude,Latitude,LGA
ACT WATER POLICE,149.0997818596104,-35.29884836495773,
AFP NATIONAL HEADQUARTERS,149.13567118744984,-35.304997628141365,
AFP SERVICES CENTRE,149.05548534994384,-35.32948126885923,
BELCONNEN POLICE STATION,149.06646728303832,-35.24468345490422,
BELCONNEN WATER POLICE,149.06680724147446,-35.234644227720935,
CANBERRA CITY POLICE STATION,149.12650470283222,-35.28106970936468,
COCKBURN POLICE STATION,140.99968568710366,-32.07793491086375,
GUNGAHLIN POLICE STATION,149.13231414999544,-35.182436342133194,
JERVIS BAY POLICE STATION,150.7068242295061,-35.13256644191891,
TUGGERANONG POLICE STATION,149.0701186166647,-35.41817437214552,
WINCHESTER POLICE CENTRE REGIONAL HQ,149.06654428303125,-35.243817803068126,
WODEN POLICE STATION,149.08880200611583,-35.34537725602636,
ALBURY POLICE STATION,146.91808599602604,-36.07962899581157,Albury
ARMIDALE POLICE STATION,151.66725899738103,-30.512579000828907,Armidale
GUYRA POLICE STATION,151.67101070965555,-30.222737597553337,Armidale
ALSTONVILLE POLICE STATION,153.4363639995385,-28.83807699937668,Ballina
BALLINA POLICE STATION,153.56410999800352,-28.872324001340605,Ballina
WARDELL POLICE STATION,153.46323694405777,-28.95257432628718,Ballina
BALRANALD POLICE STATION,143.5651479998117,-34.6414470024173,Balranald
EUSTON POLICE STATION,142.74535991284077,-34.5758007394428,Balranald
BATHURST POLICE STATION,149.57726622484802,-33.41460374149504,Bathurst
HILL END POLICE STATION,149.4146220008134,-33.03568999556853,Bathurst
ROCKLEY POLICE STATION,149.5629630027559,-33.68978000189282,Bathurst
TRUNKEY CREEK POLICE STATION,149.32277675047007,-33.819176591791745,Bathurst
MASCOT POLICE STATION,151.19608445798795,-33.92454889151166,Bayside
BEGA POLICE STATION,149.8398754695695,-36.67685448959142,Bega Valley
BEMBOKA POLICE STATION,149.57288600269175,-36.630152997251066,Bega Valley
BERMAGUI POLICE STATION,150.07784399791277,-36.42776299827482,Bega Valley
CANDELO POLICE STATION,149.6957180018552,-36.76927599845159,Bega Valley
COBARGO POLICE STATION,149.88972099761185,-36.38908999595738,Bega Valley
EDEN POLICE STATION,149.90774799976305,-37.06835499828816,Bega Valley
EDEN WATER POLICE,149.91014809608131,-37.07235287014121,Bega Valley
MERIMBULA POLICE STATION,149.90620599845874,-36.8873999986907,Bega Valley
TATHRA POLICE STATION,149.98657299830975,-36.72897000165226,Bega Valley
BELLINGEN POLICE STATION,152.89771983423816,-30.452066310110457,Bellingen
DORRIGO POLICE STATION,152.70988899661037,-30.341448997705523,Bellingen
URUNGA POLICE STATION,153.0219199963255,-30.4945929987961,Bellingen
BAROOGA POLICE STATION,145.68878399576695,-35.91412100423613,Berrigan
BERRIGAN POLICE STATION,145.81286688189556,-35.658391291174205,Berrigan
FINLEY POLICE STATION,145.57615499602346,-35.64370199909288,Berrigan
TOCUMWAL POLICE STATION,145.56764000468416,-35.811901004285325,Berrigan
BLACKTOWN POLICE STATION,150.90520600292808,-33.76857699672078,Blacktown
MOUNT DRUITT POLICE STATION,150.82271435178444,-33.76532579662457,Blacktown
RIVERSTONE POLICE STATION,150.8622604723122,-33.68128264194918,Blacktown
BARMEDMAN POLICE STATION,147.38684099596497,-34.143468003705586,Bland
TALLIMBA POLICE STATION,146.88075699936618,-33.994553001753054,Bland
UNGARIE POLICE STATION,146.9720359957719,-33.63822400387116,Bland
WEST WYALONG POLICE STATION,147.20482300292883,-33.92426199927164,Bland
BLAYNEY POLICE STATION,149.25408700130296,-33.53600400403086,Blayney
CARCOAR POLICE STATION,149.14122399671618,-33.6112159982899,Blayney
MANDURAMA POLICE STATION,149.0719419972654,-33.65117699898519,Blayney
MILLTHORPE POLICE STATION,149.18518099620593,-33.444583000662,Blayney
BLACKHEATH POLICE STATION,150.28649428938,-33.63553028289337,Blue Mountains
KATOOMBA POLICE STATION,150.31037500318007,-33.71872000398884,Blue Mountains
LAWSON POLICE STATION,150.42708275765702,-33.72134472937244,Blue Mountains
MOUNT VICTORIA POLICE STATION,150.25590799783544,-33.58930100405068,Blue Mountains
SPRINGWOOD POLICE STATION,150.56234509754646,-33.69936375072448,Blue Mountains
NYNGAN POLICE STATION,147.19365999732085,-31.564018996026,Bogan
BOURKE POLICE STATION,145.9371910249668,-30.09025352560579,Bourke
ENNGONIA POLICE STATION,145.84595474255457,-29.31787696739197,Bourke
WANAARING POLICE STATION,144.14934054899228,-29.704625553593736,Bourke
BREWARRINA POLICE STATION,146.85998336140293,-29.96158052624036,Brewarrina
GOODOOGA POLICE STATION,147.45093560284073,-29.11462054472189,Brewarrina
BROKEN HILL POLICE STATION,141.45897182860196,-31.960264345046493,Broken Hill
BURWOOD POLICE STATION,151.10499400179071,-33.87888999989885,Burwood
BANGALOW POLICE STATION,153.52789699908234,-28.685614001274956,Byron
BRUNSWICK HEADS POLICE STATION,153.55144600098055,-28.540913001911058,Byron
BYRON BAY POLICE STATION,153.6102079990223,-28.64204699787348,Byron
MULLUMBIMBY POLICE STATION,153.49944860808245,-28.55266140044625,Byron
CANOWINDRA POLICE STATION,148.66504500216405,-33.56835499817951,Cabonne
CUDAL POLICE STATION,148.74016396866676,-33.28791489188963,Cabonne
CUMNOCK POLICE STATION,148.7512699986278,-32.929778001673505,Cabonne
EUGOWRA POLICE STATION,148.37126099841996,-33.428603998782314,Cabonne
MANILDRA POLICE STATION,148.69409616721123,-33.1837607523306,Cabonne
MOLONG POLICE STATION,148.8668509980405,-33.0875280010678,Cabonne
YEOVAL POLICE STATION,148.65014999601385,-32.75219700009308,Cabonne
NARELLAN POLICE STATION,150.7313818948396,-34.04225547465733,Camden
CAMPBELLTOWN POLICE STATION,150.81720335100977,-34.06256779931361,Campbelltown
MACQUARIE FIELDS POLICE STATION,150.89054605085346,-33.98572373280568,Campbelltown
FIVE DOCK POLICE STATION,151.12824600089309,-33.868109003650474,Canada Bay
BANKSTOWN POLICE STATION,151.03091851383047,-33.9168998465171,Canterbury-Bankstown
BASS HILL POLICE STATION,150.99836600057174,-33.89201099856113,Canterbury-Bankstown
CAMPSIE POLICE STATION,151.0983897360439,-33.91109079364749,Canterbury-Bankstown
REVESBY POLICE STATION,151.0174424344008,-33.952000478700825,Canterbury-Bankstown
GOOLGOWI POLICE STATION,145.70934400447422,-33.9802819963878,Carrathool
HILLSTON POLICE STATION,145.53270762606576,-33.48647079047879,Carrathool
RANKINS SPRINGS POLICE STATION,146.26127899952468,-33.840740995950505,Carrathool
GOSFORD POLICE STATION,151.34142800460947,-33.43043899716013,Central Coast
TERRIGAL POLICE STATION,151.443910872782,-33.44727101116317,Central Coast
THE ENTRANCE POLICE STATION,151.49767557703416,-33.34517324493366,Central Coast
TOUKLEY POLICE STATION,151.54450599786026,-33.26447299958988,Central Coast
WOY WOY POLICE STATION,151.324923838206,-33.4865756692472,Central Coast
